plantName,growth,soil,sunlight,watering,fertilizationType,difficultyOfCare,classification,
Daffodil,slow,well-drained,full sunlight,Water weekly,Balanced,6,"flower, inedible",
Sunflower,fast,well-drained,full sunlight,Water weekly,Balanced,8,"edible, flower",
Tulip,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,4,"flower, inedible",
Peony,slow,well-drained,full sunlight,Water weekly,Balanced,6,flower,
Jasmine,moderate,loamy,full sunlight,Water weekly,Organic,7,vine,
Ivy,moderate,well-drained,indirect sunlight,Keep soil slightly moist,Balanced,7,vine,
Nasturtium,fast,well-drained,full sunlight,Water weekly,Organic,8,flower,
Petunia,fast,well-drained,full sunlight,Water weekly,Balanced,8,"flower, inedible",
Carnation,moderate,well-drained,full sunlight,Water when soil is dry,Low-nitrogen,6,"flower, inedible",
Snapdragon,fast,well-drained,full sunlight,Water weekly,Balanced,8,"flower, inedible",
Pansy,moderate,well-drained,partial sunlight,Keep soil evenly moist,Organic,8,"flower, inedible",
Sweet Pea,fast,loamy,full sunlight,Water weekly,Balanced,8,"inedible, toxic, vine",
Morning Glory,fast,well-drained,full sunlight,Water weekly,Balanced,8,vine,
Verbena,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,7,flower,
Gerbera Daisy,moderate,well-drained,full sunlight,Water weekly,Balanced,7,flower,
Anemone,moderate,well-drained,partial sunlight,Keep soil evenly moist,Organic,8,flower,
Hyacinth,moderate,loamy,full sunlight,Water weekly,Low-nitrogen,7,"flower, inedible",
Crocus,slow,well-drained,full sunlight,Water weekly,Balanced,6,flower,
Dandelion,fast,well-drained,full sunlight,Water weekly,Organic,8,flower,
Foxglove,moderate,well-drained,partial sunlight,Water weekly,Balanced,6,"flower, toxic",
Bluebell,moderate,well-drained,partial sunlight,Keep soil slightly moist,Organic,8,flower,
Camellia,slow,acidic,partial sunlight,Water weekly,Acidic,4,flower,
Poppy,moderate,well-drained,full sunlight,Water when soil is dry,Low-nitrogen,6,flower,
Magnolia,slow,acidic,full sunlight,Water when soil is dry,Acidic,4,tree,
Holly,slow,acidic,partial sunlight,Water weekly,Acidic,4,tree,
Gardenia,slow,acidic,indirect sunlight,Water weekly,Acidic,3,flower,
Azalea,moderate,acidic,partial sunlight,Keep soil moist,Acidic,8,"flower, shrub, toxic",
Clivia,moderate,well-drained,indirect sunlight,Water weekly,Balanced,4,flower,
Tulsi (Holy Basil),fast,well-drained,full sunlight,Keep soil moist,Balanced,10,"herb, edible",
Canna Lily,fast,well-drained,full sunlight,Water weekly,Balanced,8,flower,
Dahlia,moderate,well-drained,full sunlight,Water weekly,Balanced,7,flower,
Daisy,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,7,flower,
Eucalyptus,slow,sandy,full sunlight,Water when soil feels dry,Low-nitrogen,4,tree,
Lotus,moderate,loamy,full sunlight,Keep soil consistently moist,Balanced,9,flower,
Bamboo,moderate,acidic,partial sunlight,Keep soil moist,Acidic,8,grass,
Orchid Cactus,slow,sandy,indirect sunlight,Water weekly,Low-nitrogen,3,"flower, succulent",
Bromeliad,moderate,well-drained,indirect sunlight,Water weekly,Balanced,4,foliage,
Succulent,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,4,succulent,
Iris,moderate,well-drained,full sunlight,Water weekly,Balanced,7,flower,
Lotus Bamboo,slow,well-drained,indirect sunlight,Water weekly,Organic,3,"flower, grass",
Hosta,moderate,well-drained,partial sunlight,Water weekly,Balanced,6,foliage,
Echeveria,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen,2,succulent,
Catmint,moderate,well-drained,full sunlight,Water weekly,Balanced,7,"edible, herb",
Coneflower,moderate,sandy,full sunlight,Water weekly,Balanced,7,ornamental,
Lamb's Ear,moderate,sandy,full sunlight,Water weekly,Balanced,7,foliage,
Fuchsia,slow,well-drained,indirect sunlight,Water weekly,Organic,3,flower,
Impatiens,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,7,flower,
Dianthus,moderate,sandy,full sunlight,Water weekly,Balanced,7,flower,
Phlox,moderate,well-drained,full sunlight,Water when soil is dry,Balanced,6,flower,
Lobelia,fast,well-drained,indirect sunlight,Water weekly,Low-nitrogen,6,flower,
Salvia,moderate,sandy,full sunlight,Water weekly,Balanced,7,flower,
Hollyhock,moderate,well-drained,full sunlight,Water weekly,Balanced,7,flower,
Aster,moderate,well-drained,full sunlight,Water weekly,Low-nitrogen,7,flower,
Calendula,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,7,"flower, medicinal, skincare",
Candytuft,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,7,flower,
Larkspur,moderate,well-drained,partial sunlight,Water weekly,Balanced,6,flower,
Shasta Daisy,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,7,flower,
Periwinkle,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,7,flower,
Coral Bells,moderate,well-drained,partial sunlight,Water weekly,Low-nitrogen,6,ornamental,
Bleeding Heart,slow,well-drained,partial sunlight,Keep soil moist,Organic,7,flower,
Sweet Alyssum,fast,sandy,full sunlight,Water weekly,Low-nitrogen,8,flower,
Balloon Flower,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,7,ornamental,
Japanese Anemone,moderate,well-drained,partial sunlight,Water weekly,Balanced,6,flower,
Veronica,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,7,flower,
Sedum,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,4,succulent,
Helenium,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,7,flower,
Astilbe,moderate,well-drained,partial sunlight,Keep soil moist,Organic,8,flower,
Coreopsis,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen,7,flower,
Columbine,moderate,well-drained,partial sunlight,Water weekly,Balanced,6,flower,
Globe Thistle,moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen,6,flower,
Lupine,moderate,sandy,full sunlight,Water weekly,Balanced,7,flower,
Blanket Flower,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen,7,flower,
Toad Lily,slow,well-drained,partial sunlight,Keep soil moist,Organic,7,flower,
Russian Sage,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,4,"herb, edible",
Bee Balm,moderate,well-drained,partial sunlight,Keep soil moist,Organic,8,flower,
Speedwell,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,7,flower,
Catnip,fast,sandy,full sunlight,Water when topsoil is dry,Balanced,7,"edible, herb",
Tarragon,slow,sandy,full sunlight,Water weekly,Organic,6,"herb, edible",
Bay Laurel,slow,sandy,partial sunlight,Water weekly,Organic,4,"edible, herb",
Lemon Balm,moderate,well-drained,partial sunlight,Water weekly,Organic,6,"fruit, herb, edible",
Fennel,moderate,sandy,full sunlight,Water weekly,Organic,7,"herb, edible",
Chamomile,moderate,sandy,full sunlight,Water weekly,Organic,7,"medicinal, skincare",
Lemongrass,fast,well-drained,full sunlight,Water weekly,Organic,8,"herb, edible",
Stevia,slow,well-drained,partial sunlight,Water weekly,Organic,4,"edible, herb",
Marjoram,moderate,sandy,full sunlight,Water when soil is dry,No,4,"edible, herb",
ZZ Plant,slow,sandy,indirect sunlight,Let soil dry between watering,No,1,foliage,
Philodendron,moderate,well-drained,indirect sunlight,Water weekly,No,3,"toxic, vine",
Monstera,moderate,well-drained,indirect sunlight,Water weekly,No,3,foliage,
Calathea,moderate,well-drained,indirect sunlight,Keep soil moist,No,6,foliage,
Fern (Boston Fern),moderate,well-drained,indirect sunlight,Keep soil moist,No,6,"fern, inedible",
Croton,slow,well-drained,indirect sunlight,Water weekly,No,2,foliage,
Dieffenbachia,slow,well-drained,indirect sunlight,Water weekly,No,2,toxic,
Dracaena,slow,sandy,indirect sunlight,Let soil dry between watering,No,1,foliage,
Majesty Palm,slow,well-drained,indirect sunlight,Water weekly,No,2,tree,
Bird of Paradise,moderate,well-drained,indirect sunlight,Water weekly,No,3,foliage,
Chinese Evergreen,slow,well-drained,indirect sunlight,Water weekly,Organic,3,foliage,
Peperomia,slow,well-drained,indirect sunlight,Water weekly,Balanced,3,foliage,
Ficus Tree,slow,well-drained,indirect sunlight,Water weekly,Low-nitrogen,3,tree,
Succulents (General),slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,4,ornamental,
Haworthia,slow,sandy,indirect sunlight,Water when topsoil is dry,Low-nitrogen,2,succulent,
String of Pearls,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen,2,succulent,
Jade Pothos,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,7,"succulent, toxic, vine",
Swedish Ivy,fast,well-drained,indirect sunlight,Water weekly,Balanced,6,vine,
Wandering Jew,fast,well-drained,indirect sunlight,Water weekly,Balanced,6,foliage,
Hoya (Wax Plant),slow,sandy,indirect sunlight,Water when topsoil is dry,Balanced,2,ornamental,
African Violet,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,7,flower,
Begonia (Outdoor),moderate,well-drained,full sunlight,Water weekly,Organic,7,flower,
Petunia (Trailing),fast,sandy,full sunlight,Regular Watering,Organic,9,"flower, inedible",
Begonia (Indoor),moderate,well-drained,indirect sunlight,Water weekly,Balanced,4,flower,
Clematis,slow,sandy,full sunlight,Regular Watering,Organic,7,vine,
Calla Lily,moderate,sandy,partial sunlight,Keep soil moist,Organic,8,flower,
Cineraria,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,7,ornamental,
Heliotrope,moderate,well-drained,full sunlight,Regular Watering,Organic,8,ornamental,
Tuberose,slow,sandy,full sunlight,Regular Watering,Organic,7,ornamental,
Gazania,fast,sandy,full sunlight,Water when soil is dry,Organic,7,ornamental,
Portulaca,fast,sandy,full sunlight,Water when soil is dry,Balanced,7,ornamental,
Coleus,moderate,well-drained,indirect sunlight,Regular Watering,Low-nitrogen,6,foliage,
Dusty Miller,moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen,6,ornamental,
Dianella,slow,sandy,full sunlight,Water weekly,Organic,6,ornamental,
Lantana,fast,sandy,full sunlight,Water when soil is dry,Organic,7,ornamental,
Yucca,slow,sandy,full sunlight,Water when topsoil is dry,Organic,4,ornamental,
Acalypha,moderate,sandy,full sunlight,Regular Watering,Organic,8,ornamental,
Viola,moderate,well-drained,full sunlight,Keep soil moist,Organic,9,ornamental,
Jasmine (Outdoor),moderate,well-drained,full sunlight,Regular Watering,Balanced,8,vine,
Sweet William,fast,sandy,full sunlight,Water when soil is dry,Organic,7,ornamental,
Campanula,moderate,sandy,partial sunlight,Keep soil moist,Balanced,8,ornamental,
Black-Eyed Susan,moderate,sandy,full sunlight,Water weekly,Organic,7,ornamental,
Bachelors Button,fast,sandy,full sunlight,Water when soil is dry,Balanced,7,ornamental,
Sea Holly,slow,sandy,full sunlight,Water when soil is dry,Balanced,4,tree,
Bellflower,moderate,sandy,partial sunlight,Keep soil moist,Organic,8,ornamental,
Daylily,fast,sandy,full sunlight,Regular Watering,Low-nitrogen,9,ornamental,
Yarrow,moderate,sandy,full sunlight,Water when soil is dry,Balanced,6,medicinal,
Feverfew,moderate,sandy,full sunlight,Water weekly,Balanced,7,ornamental,
Rudbeckia,moderate,sandy,full sunlight,Water weekly,Organic,7,ornamental,
Echinacea,slow,sandy,full sunlight,Water weekly,Organic,6,medicinal,
Alyssum,fast,well-drained,full sunlight,Water weekly,Organic,8,flower,
Ice Plant,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen,7,ornamental,
Neem Tree,fast,sandy,full sunlight,Let soil dry between watering,Organic,7,ornamental,
Peepal Tree (Bodhi Tree),moderate,loamy,partial sunlight,"Regular, well-drained soil",Organic,7,ornamental,
Banyan Tree (Bargad),slow,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen,7,ornamental,
Kikar Tree (Acacia),moderate,sandy,full sunlight,Let soil dry between watering,Organic,6,ornamental,
Sheesham Tree,fast,loamy,full sunlight,Let soil dry between watering,Organic,7,ornamental,
Gul Mohar (Flame Tree),moderate,sandy,full sunlight,"Regular, moist soil",Organic,8,ornamental,
Amaltas (Golden Shower),moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen,6,ornamental,
Date Palm (Khajoor),moderate,sandy,full sunlight,Water when soil is dry,Organic,6,tree,
Ber Tree (Indian Jujube),moderate,sandy,full sunlight,Water when soil feels dry,Organic,6,ornamental,
Ageratum,fast,loamy,partial sunlight,"Regular, moist soil",Balanced,8,ornamental,
Beggonia (Outdoor),moderate,well-drained,full sunlight,"Regular, moist soil",Organic,8,ornamental,
Amaryllis,fast,loamy,full sunlight,Water when soil is dry,Balanced,7,ornamental,
Chrysanthemum (Outdoor),fast,loamy,full sunlight,"Regular, moist soil",Balanced,9,"flower, inedible",
Japanese Maple,slow,acidic,partial sunlight,Keep soil consistently moist,Balanced,7,tree,
Euphorbia,fast,sandy,full sunlight,Water when soil is dry,Organic,7,succulent,
Pineapple Sage,fast,loamy,full sunlight,"Regular, moist soil",Balanced,9,"herb, edible",
Maranta (Prayer Plant),moderate,loamy,partial sunlight,"Regular, moist soil",Balanced,7,foliage,
Kalanchoe,moderate,sandy,full sunlight,Let soil dry between watering,Balanced,6,succulent,
Pilea,moderate,loamy,indirect sunlight,Water when topsoil is dry,Balanced,3,ornamental,
Pothos (Golden Pathos),fast,loamy,indirect sunlight,Water when topsoil is dry,Balanced,4,"toxic, vine",
Areca Palm,slow,loamy,indirect sunlight,"Regular, moist soil",Organic,4,tree,
Ficus Benjamina,moderate,well-drained,indirect sunlight,Water when soil is dry,Balanced,3,tree,
Mimosa,fast,loamy,full sunlight,"Regular, moist soil",No,8,ornamental,
Lavender (English),moderate,sandy,full sunlight,Let soil dry between watering,Balanced,6,skincare,
Zucchini,fast,well-drained,full sunlight,"Regular, moist soil",Balanced,9,"vegetable, edible",
Chili Pepper,fast,loamy,full sunlight,"Regular, moist soil",Organic,9,"spice, edible",
Radish,fast,well-drained,full sunlight,"Regular, moist soil",Organic,9,ornamental,
Grape Vine,moderate,acidic,full sunlight,"Regular, well-drained soil",Balanced,8,"fruit, edible",
Cherry Blossom,slow,well-drained,full sunlight,"Regular, moist soil",Organic,7,"edible, fruit, tree",
Pine,slow,sandy,full sunlight,Water when soil feels dry,Balanced,4,tree,
Lily of the Valley,slow,acidic,partial sunlight,"Regular, moist soil",Low-nitrogen,6,"flower, toxic",
Hops,fast,well-drained,full sunlight,"Regular, moist soil",Balanced,9,"edible, herb, medicinal, vine",
Cabbage,fast,well-drained,full sunlight,"Regular, moist soil",Balanced,9,"vegetable, edible",
Tomato,fast,well-drained,full sunlight,Regular Watering,Organic,9,"fruit, edible",
Wisteria,slow,well-drained,full sunlight,"Regular, moist soil",Balanced,7,vine,
Strawberry,moderate,sandy,full sunlight,"Regular, well-drained soil",Organic,8,"fruit, edible",
Borage,fast,well-drained,full sunlight,"Regular, moist soil",Organic,9,"edible, herb",
Raspberry,moderate,acidic,full sunlight,"Regular, well-drained soil",Organic,8,"fruit, edible",
Cornflower,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced,8,ornamental,
Pineapple,slow,sandy,full sunlight,Water weekly,Organic,6,"fruit, edible",
Lavender (French),moderate,sandy,full sunlight,Let soil dry between watering,Balanced,6,skincare,
Acorn Squash,moderate,loamy,full sunlight,Regular watering,Balanced,8,"vegetable, edible",
Apple Tree,slow,sandy,full sunlight,Water weekly,Balanced,6,"edible, fruit, tree",
Bamboo Orchid,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,7,"flower, grass",
Balsam,fast,moist,full sunlight,Regular watering,Organic,9,ornamental,
Banana Plant,fast,moist,full sunlight,Water weekly,Balanced,8,ornamental,
Beetroot,moderate,sandy,full sunlight,Regular watering,Organic,8,"vegetable, edible",
Blackcurrant,moderate,acidic,full sunlight,Keep soil moist,Organic,9,ornamental,
Bok Choy,fast,loamy,full sunlight,Regular watering,Organic,9,ornamental,
Brassica,moderate,moist,full sunlight,Regular watering,Low-nitrogen,8,ornamental,
Butternut Squash,moderate,sandy,full sunlight,Regular watering,Organic,8,"vegetable, edible",
Carrot,moderate,sandy,full sunlight,Regular watering,Organic,8,"vegetable, edible",
Chayote,fast,well-drained,full sunlight,Regular watering,Balanced,9,ornamental,
Chestnut,slow,well-drained,full sunlight,Regular watering,Organic,7,ornamental,
Clementine,moderate,loamy,full sunlight,Regular watering,Organic,8,ornamental,
Clove,slow,sandy,full sunlight,Keep soil consistently moist,Organic,8,"spice, edible",
Cocoa Tree,moderate,moist,full sunlight,Regular watering,Low-nitrogen,8,ornamental,
Corn,fast,loamy,full sunlight,Regular watering,Balanced,9,"vegetable, edible",
Cucumber,fast,sandy,full sunlight,Keep soil consistently moist,Organic,10,"vegetable, edible",
Currant,moderate,acidic,full sunlight,Keep soil consistently moist,Organic,9,ornamental,
Date Palm,slow,sandy,full sunlight,Water when soil is dry,Organic,4,tree,
Dragon Fruit,fast,sandy,full sunlight,Regular watering,Balanced,9,"fruit, edible",
Eggplant,moderate,loamy,full sunlight,Regular watering,Organic,8,"vegetable, edible",
Elderberry,fast,moist,full sunlight,Regular watering,Organic,9,ornamental,
Fig Tree,moderate,sandy,full sunlight,Regular watering,Balanced,8,ornamental,
Green Bean,fast,well-drained,full sunlight,Regular watering,Balanced,9,"vegetable, edible",
Jackfruit,moderate,well-drained,full sunlight,Regular watering,Organic,8,"fruit, edible",
Jasmine (Indoor),moderate,well-drained,indirect sunlight,Keep soil moist,Low-nitrogen,7,vine,
Jatropha,moderate,sandy,full sunlight,Regular watering,Organic,8,ornamental,
Kiwi,fast,loamy,full sunlight,Keep soil moist,Organic,10,"fruit, edible",
Lady's Mantle,moderate,loamy,partial sunlight,Keep soil moist,Organic,8,ornamental,
Lemon Tree,slow,sandy,full sunlight,Regular watering,Organic,7,"fruit, edible",
Litchi,moderate,well-drained,full sunlight,Regular watering,Organic,8,ornamental,
Lychee,moderate,well-drained,full sunlight,Regular watering,Organic,8,"fruit, edible",
Mallow,fast,loamy,full sunlight,Regular watering,Organic,9,ornamental,
Mango,moderate,sandy,full sunlight,Regular watering,Organic,8,"fruit, edible",
Moringa,fast,sandy,full sunlight,Regular watering,Organic,9,ornamental,
Mulberry,moderate,well-drained,full sunlight,Regular watering,Organic,8,ornamental,
Mustard,fast,loamy,full sunlight,Regular watering,Balanced,9,ornamental,
Nectarine,slow,loamy,full sunlight,Regular watering,Organic,7,ornamental,
Olive Tree,moderate,sandy,full sunlight,Water when soil is dry,Balanced,6,ornamental,
Acacia,fast,sandy,full sunlight,Let soil dry between watering,Organic,7,ornamental,
Acanthus,moderate,loamy,partial sunlight,"Regular, moist soil",Organic,7,ornamental,
Alstroemeria,slow,loamy,partial sunlight,Water when topsoil is dry,Balanced,3,ornamental,
Amaranth,fast,loamy,full sunlight,"Regular, moist soil",Organic,9,ornamental,
Anigozanthos (Kangaroo Paw),moderate,sandy,full sunlight,Let soil dry between watering,Balanced,6,ornamental,
Anthurium,slow,moist,indirect sunlight,"Regular, moist soil",Organic,4,foliage,
Aquilegia (Columbine),moderate,loamy,partial sunlight,Let soil dry between watering,Organic,4,flower,
Arum Lily,moderate,moist,partial sunlight,"Regular, moist soil",Balanced,7,flower,
Aztec Lily,slow,sandy,partial sunlight,Let soil dry between watering,Organic,3,flower,
Barberry,moderate,sandy,full sunlight,"Regular, well-drained soil",Balanced,8,ornamental,
Brachychiton (Bottle Tree),slow,well-drained,full sunlight,"Regular, moist soil",Balanced,7,ornamental,
Cananga (Ylang-Ylang),moderate,loamy,full sunlight,"Regular, well-drained soil",Organic,8,ornamental,
Carrot Plant,moderate,sandy,full sunlight,"Regular, well-drained soil",Balanced,8,"vegetable, edible",
Cestrum,moderate,loamy,partial sunlight,"Regular, moist soil",Organic,7,ornamental,
Cockscomb (Celosia),moderate,well-drained,full sunlight,Water when topsoil is dry,Organic,6,ornamental,
Cress,fast,moist,full sunlight,"Regular, moist soil",Balanced,9,ornamental,
Cyclamen,moderate,moist,indirect sunlight,"Regular, moist soil",Balanced,6,ornamental,
Devils Ivy,moderate,well-drained,indirect sunlight,"Regular, moist soil",Organic,6,vine,
Ficus Microcarpa,moderate,well-drained,partial sunlight,"Regular, well-drained soil",Organic,7,tree,
Guava,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced,8,ornamental,
Ixia,moderate,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen,8,ornamental,
Jacaranda,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced,8,ornamental,
Kiwi Vine,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic,9,ornamental,
Knautia,moderate,well-drained,full sunlight,"Regular, well-drained soil",No,7,ornamental,
Liatris,moderate,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen,8,ornamental,
Lilac,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced,8,shrub,
Luffa,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced,9,ornamental,
Malva (Mallow),moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic,8,ornamental,
Neoregalia (Bromeliad),moderate,moist,indirect sunlight,"Regular, moist soil",Balanced,6,foliage,
Nettle,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic,9,ornamental,
Passionflower,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic,9,"fruit, edible",
Pepper Plant,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced,8,"spice, edible",
Pomegranate,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced,8,"fruit, edible",
Potato Vine,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced,9,"vegetable, edible",
Protea,slow,well-drained,full sunlight,"Regular, well-drained soil",Organic,7,ornamental,
Purslane,fast,well-drained,full sunlight,"Regular, well-drained soil",Balanced,9,ornamental,
Quince,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced,8,"fruit, edible",
Red Hot Poker (Kniphofia),moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic,8,ornamental,
Red-leafed Maple,slow,well-drained,partial sunlight,"Regular, well-drained soil",Balanced,6,tree,
Rhododendron,slow,acidic,partial sunlight,"Regular, well-drained soil",Organic,6,shrub,
Snowdrop,slow,well-drained,full sunlight,"Regular, moist soil",Balanced,7,ornamental,
Spider Flower,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic,8,ornamental,
Star Jasmine,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic,8,vine,
Strawberry Plant,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic,8,"fruit, edible",
Sweet Basil,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced,8,"herb, edible",
Sweet Potato Vine,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic,9,"vegetable, edible",
Taro,moderate,moist,full sunlight,"Regular, moist soil",Organic,8,ornamental,
Tiger Lily,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic,8,flower,
Violet,moderate,moist,indirect sunlight,"Regular, moist soil",Organic,6,flower,
Zebra Plant,moderate,moist,partial sunlight,"Regular, moist soil",Organic,7,succulent,
Zephyranthes (Rain Lily),fast,acidic,full sunlight,"Regular, moist soil",Balanced,9,flower,
Buckwheat,fast,sandy,full sunlight,"Regular, moist soil",Low-nitrogen,9,ornamental,
Cabbage Palm,moderate,sandy,full sunlight,Water when topsoil is dry,Organic,6,"edible, tree, vegetable",
Camelina,fast,loamy,full sunlight,"Regular, moist soil",No,8,ornamental,
Elderflower,moderate,well-drained,full sunlight,"Regular, moist soil",No,7,ornamental,
Epazote,fast,moist,full sunlight,"Regular, well-drained soil",Organic,9,ornamental,
Fern (Maidenhair),slow,moist,indirect sunlight,"Regular, well-drained soil",Organic,4,"fern, inedible",
Galangal,moderate,well-drained,partial sunlight,"Regular, moist soil",Balanced,7,ornamental,
Hummingbird Sage,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic,8,"herb, edible",
Indian Cress,moderate,moist,full sunlight,"Regular, moist soil",Low-nitrogen,8,ornamental,
Lacandonian,moderate,loamy,partial sunlight,"Regular, moist soil",No,6,ornamental,
Lemon Grass,fast,well-drained,full sunlight,"Regular, moist soil",Organic,9,"edible, fruit, grass",
Lilac Bush,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced,8,shrub,
Mandevilla,fast,loamy,full sunlight,"Regular, well-drained soil",Balanced,9,ornamental,
Marigold (African),fast,loamy,full sunlight,"Regular, moist soil",Organic,9,"flower, inedible",
Mayapple,slow,well-drained,partial sunlight,"Regular, moist soil",Low-nitrogen,6,"medicinal, toxic",
Nandina (Heavenly Bamboo),moderate,well-drained,partial sunlight,"Regular, well-drained soil",Organic,7,grass,
Nutmeg,moderate,loamy,full sunlight,"Regular, moist soil",Organic,8,"spice, edible",
Orchid (Vanilla),slow,well-drained,indirect sunlight,"Regular, well-drained soil",No,3,"edible, flower, spice",
