plantName,description
Chrysanthemum,"A bushy, late-season bloomer that provides a final burst of color to autumn gardens with its dense, multi-petaled flowers."
Daffodil,"A cheerful, spring-blooming bulb with iconic trumpet-shaped yellow or white flowers that signal the end of winter."
Sunflower,"A tall, fast-growing annual famous for its massive, sun-tracking golden heads and edible seeds that nourish both humans and birds."
Tulip,"A classic spring bulb known for its elegant, cup-shaped flowers that come in nearly every color of the rainbow."
Peony,"A long-lived perennial that produces lush, fragrant, and oversized blooms, often considered the crown jewel of the late spring garden."
Jasmine,"A climbing vine beloved for its intensely fragrant white flowers that fill the air with a sweet, intoxicating scent on summer nights."
Ivy,"A versatile and hardy climbing or trailing vine with distinctive lobed leaves that can quickly cover walls or trellises."
Nasturtium,"A vibrant, fast-growing flower with unique round leaves; both the peppery leaves and the bright flowers are edible."
Petunia,"A popular bedding plant that produces a non-stop carpet of colorful, funnel-shaped flowers throughout the warmest months."
Carnation,"A long-lasting flower with ruffled petals and a spicy, clove-like scent that has been a staple of floral arrangements for centuries."
Snapdragon,"A nostalgic garden flower with unique, 'dragon-headed' blooms that pop open when squeezed, growing on tall, sturdy spikes."
Pansy,"A cool-weather favorite featuring 'faced' flowers in a wide array of colors that can withstand a light frost."
Sweet Pea,"A delicate climbing vine famous for its exquisite fragrance and ruffled, pastel-colored flowers; note that its seeds are toxic."
Morning Glory,"A vigorous climber that produces beautiful, trumpet-shaped flowers that unfurl each morning to greet the sun."
Verbena,"A heat-tolerant plant that produces clusters of tiny, star-shaped flowers, making it an excellent choice for groundcover or hanging baskets."
Gerbera Daisy,"A bold, cheerful flower known for its perfectly symmetrical, oversized blooms and vivid, saturated colors."
Anemone,"A graceful, airy flower also known as the 'windflower,' featuring delicate petals and dark centers that sway beautifully in the breeze."
Hyacinth,"A spring-blooming bulb that produces dense, upright spikes of intensely fragrant, bell-shaped flowers."
Crocus,"A small, hardy bulb that produces vibrant cup-shaped flowers, often the very first to poke through the snow in late winter."
Dandelion,"A resilient and fast-growing plant with bright yellow flower heads that transform into fluffy white seed globes."
Foxglove,"A majestic but toxic biennial known for its tall spikes of tubular, bell-shaped flowers marked with unique interior spots."
Bluebell,"A charming woodland flower that creates carpets of nodding, violet-blue bells in shaded areas during the spring."
Camellia,"An elegant evergreen shrub prized for its rose-like winter blooms and glossy, deep green foliage that prefers acidic soil."
Poppy,"A delicate and iconic flower with papery petals and a dark center, often associated with remembrance and natural beauty."
Magnolia,"A grand, ancient tree species known for its massive, fragrant blossoms and thick, leathery leaves."
Holly,"A classic ornamental tree featuring prickly, evergreen leaves and bright red berries that provide winter interest and bird habitat."
Gardenia,"A sophisticated flowering plant famous for its creamy white blooms and an incredibly sweet, heavy fragrance."
Azalea,"A vibrant, acid-loving shrub that produces spectacular masses of spring flowers; note that it is toxic if consumed."
Clivia,"A sturdy indoor plant with dark, strap-shaped leaves and clusters of bright orange, trumpet-like flowers."
Tulsi (Holy Basil),"A sacred and aromatic fast-growing herb used in traditional medicine and teas for its many therapeutic properties."
Canna Lily,"A bold, tropical-looking plant with large, paddle-shaped leaves and fiery, showy flowers on tall stalks."
Dahlia,"A diverse garden favorite that grows from tubers to produce intricate, geometrically perfect blooms in endless colors."
Daisy,"A cheerful, simple flower with a yellow center and white petals, embodying a classic, carefree garden aesthetic."
Eucalyptus,"A fast-growing tree with silvery-blue foliage and a distinct, medicinal scent used widely in floral arrangements and oils."
Lotus,"A stunning aquatic plant with large, circular leaves and ethereal blooms that emerge cleanly from the water's surface."
Bamboo,"A fast-growing, woody grass used as a natural privacy screen and admired for its strength and Zen-like appearance."
Orchid Cactus,"A unique succulent that combines the hardiness of a cactus with the large, spectacular blooms of an orchid."
Bromeliad,"A striking tropical plant that grows in a rosette shape, often featuring a colorful, long-lasting central flower spike."
Succulent,"A diverse group of drought-tolerant plants with thick, fleshy parts designed to store water in arid conditions."
Iris,"A regal perennial named after the goddess of the rainbow, featuring unique 'bearded' or crested petals."
Lotus Bamboo,"A decorative variety of grass that resembles bamboo, often grown in water or soil as a symbol of good fortune."
Hosta,"The king of the shade garden, loved for its wide variety of lush, decorative foliage colors and textures."
Echeveria,"A popular, rosette-forming succulent with powdery, leaf-tipped colors that look like sculpted stone roses."
Catmint,"A hardy herb with aromatic grey-green foliage and spikes of lavender flowers that are highly attractive to pollinators."
Coneflower,"A tough, drought-tolerant native flower with prominent central cones used often in herbal remedies and meadows."
Lamb's Ear,"A unique foliage plant covered in soft, silvery-white fuzz that feels remarkably like the velvet of a lamb's ear."
Fuchsia,"An exotic-looking plant with elegant, two-toned pendant flowers that hang down like ornate jewelry or teardrops."
Impatiens,"A prolific bloomer for shady spots, providing a continuous carpet of bright color throughout the growing season."
Dianthus,"A fragrant flower with fringed petals also known as 'pinks,' often smelling of cloves or sweet spice."
Phlox,"A garden staple that produces dense clusters of star-shaped flowers, filling the air with a soft, sweet perfume."
Lobelia,"A trailing plant that produces a profusion of tiny, intense blue or violet flowers, perfect for hanging baskets."
Salvia,"A versatile member of the mint family with tall spikes of flowers that are a magnet for hummingbirds and bees."
Hollyhock,"A nostalgic cottage garden plant that grows tall, sturdy stalks covered in large, open-faced blossoms."
Aster,"A late-season bloomer that provides essential nectar for butterflies with its daisy-like stars of purple, pink, and white."
Calendula,"A cheerful, sun-loving flower with medicinal petals used in skincare salves and soothing ointments."
Candytuft,"A low-growing, woody perennial that smothers itself in pure white flower clusters, acting as a beautiful groundcover."
Larkspur,"A tall, airy annual with deeply cut leaves and spires of delicate flowers in shades of blue, pink, and white."
Shasta Daisy,"A robust and classic perennial daisy with large, crisp white flowers that bloom reliably every summer."
Periwinkle,"A durable groundcover with glossy evergreen leaves and simple, star-shaped blue or violet flowers."
Coral Bells,"A prized ornamental plant grown primarily for its stunning, color-shifting foliage that ranges from lime to deep purple."
Bleeding Heart,"A poetic shade-lover with arching stems that dangle delicate, heart-shaped pink and white blossoms."
Sweet Alyssum,"A low-growing, fast-spreading flower that creates a carpet of tiny blooms with a distinct, honey-like fragrance."
Balloon Flower,"A fun garden plant whose flower buds puff up like little balloons before popping open into star-shaped blooms."
Japanese Anemone,"A graceful, late-summer bloomer with tall, wiry stems and simple, elegant flowers that sway in the wind."
Veronica,"A reliable perennial with slender, upright spikes of densely packed flowers, usually in a deep, striking blue."
Sedum,"A tough, fleshy succulent that stores water in its leaves and produces clusters of star-shaped flowers in late summer."
Helenium,"A sun-loving perennial with distinct, daisy-like flowers in warm 'autumn' shades of red, orange, and yellow."
Astilbe,"A shade-loving plant featuring fern-like foliage and soft, feathery plumes of flowers that light up dark corners."
Coreopsis,"A sunny, long-blooming flower often called 'Tickseed,' known for its bright yellow petals and extreme drought tolerance."
Columbine,"An enchanting woodland flower with unique, spurred petals that look like delicate Victorian bonnets."
Globe Thistle,"A striking architectural plant that produces perfectly spherical, metallic-blue flower heads atop prickly silver foliage."
Lupine,"A majestic meadow flower that grows in tall, dense spires of pea-like blooms, often in stunning bicolor combinations."
Blanket Flower,"A bold, heat-tolerant daisy with vibrant red and yellow patterned petals that resemble traditional woven blankets."
Toad Lily,"An exotic shade-dweller with unique, orchid-like spotted flowers that bloom along arching stems in late summer."
Russian Sage,"A hardy, silvery-grey shrub with airy spikes of lavender-blue flowers that emit a spicy scent when brushed."
Bee Balm,"A colorful, shaggy-flowered plant that is a primary source of nectar for bees, butterflies, and hummingbirds."
Speedwell,"A reliable garden perennial that produces slender, upright wands of tiny, vivid blue or violet flowers."
Catnip,"A fast-growing herb from the mint family that is famous for its intoxicating effect on cats and its mild, herbal scent."
Tarragon,"A sophisticated culinary herb with slender green leaves and a subtle, bittersweet anise flavor essential to French cooking."
Bay Laurel,"An ancient, slow-growing evergreen tree whose leathery, aromatic leaves are a pantry staple for flavoring soups and stews."
Lemon Balm,"A lemon-scented member of the mint family often used in teas and herbal remedies for its calming properties."
Fennel,"A tall, feathery herb with a sweet, licorice-like flavor and delicate yellow flower umbels that attract beneficial insects."
Chamomile,"A gentle medicinal herb with daisy-like flowers used for centuries in soothing teas and natural skincare."
Lemongrass,"A tall, tropical grass with a bright citrus scent and flavor, widely used in Southeast Asian soups and curries."
Stevia,"A compact herb prized for its incredibly sweet leaves, which are used as a natural, calorie-free sugar substitute."
Marjoram,"A delicate, sweet herb closely related to oregano, commonly used to add a subtle savory flavor to Mediterranean dishes."
ZZ Plant,"An exceptionally tough indoor plant with waxy, dark green leaves that can survive in extremely low light with very little water."
Philodendron,"A popular, fast-growing indoor vine with heart-shaped leaves that is prized for its ease of care and trailing habit."
Monstera,"A tropical showstopper known as the 'Swiss Cheese Plant' for the natural holes and slits that develop in its large, iconic leaves."
Calathea,"A stunning 'prayer plant' known for its intricately patterned foliage that often folds up at night as if in prayer."
Fern (Boston Fern),"A lush, feathery plant with gracefully arching fronds that thrives in high humidity and indirect light."
Croton,"A bold tropical plant featuring thick, leathery leaves splashed with vivid shades of yellow, orange, red, and purple."
Dieffenbachia,"A large-leafed tropical plant often called 'Dumb Cane,' known for its striking variegated foliage; toxic if ingested."
Dracaena,"A tall, architectural houseplant with sword-like leaves that is highly effective at purifying indoor air."
Majesty Palm,"A classic tropical palm with long, feathery fronds that adds an instant touch of the tropics to any bright room."
Bird of Paradise,"A dramatic plant with large, banana-like leaves and spectacular orange and blue flowers that resemble a bird's head."
Chinese Evergreen,"A dependable, low-maintenance indoor plant with lush, silver-patterned leaves that thrives in low light."
Peperomia,"A diverse group of compact houseplants with thick, fleshy leaves that come in a wide variety of shapes and textures."
Ficus Tree,"A popular indoor tree with a woody trunk and dense, glossy leaves, known for being a bit sensitive to changes in its environment."
Succulents (General),"A vast group of water-storing plants with fleshy leaves and stems, perfectly adapted for sunny spots and minimal watering."
Haworthia,"A charming, small succulent often called the 'Zebra Plant' due to the white, bumpy stripes on its pointed leaves."
String of Pearls,"A unique, cascading succulent with long, thread-like stems draped in small, green spheres that look like a beaded necklace."
Jade Pothos,"A variety of the hardy Pothos vine with solid, deep green heart-shaped leaves; very easy to grow but toxic to pets."
Swedish Ivy,"A fast-growing, trailing plant with scalloped, glossy green leaves and delicate white flowers, perfect for hanging baskets."
Wandering Jew,"A striking trailing plant with colorful, striped leaves that often shimmer with shades of silver, green, and purple."
Hoya (Wax Plant),"A long-lived climbing vine with thick, waxy leaves and clusters of star-shaped, porcelain-like flowers that are highly fragrant."
African Violet,"A beloved indoor flower with soft, fuzzy leaves and clusters of delicate blooms in shades of purple, pink, and white."
Begonia (Outdoor),"A reliable garden flower used for its continuous blooms and fancy foliage, performing well in both sun and partial shade."
Petunia (Trailing),"A vigorous, fast-growing flower that creates a massive cascade of color in hanging baskets and garden containers."
Begonia (Indoor),"A decorative houseplant prized for its asymmetrical, colorful leaves and its ability to bloom in lower light conditions."
Clematis,"A beautiful climbing vine known as the 'Queen of Climbers' for its large, showy flowers that cover trellises in summer."
Calla Lily,"An elegant flower with sleek, trumpet-shaped blooms and spotted green foliage, often used in formal floral arrangements."
Cineraria,"A vibrant ornamental plant that produces dense mounds of daisy-like flowers in brilliant shades of blue, purple, and pink."
Heliotrope,"A nostalgic garden favorite with clusters of tiny, deep purple flowers that smell remarkably like vanilla or cherry pie."
Tuberose,"A tall, graceful plant famous for its waxy white flowers and an intensely sweet, heavy fragrance that lingers in the night air."
Gazania,"A tough, ground-hugging flower with brilliant, sun-burst petals that close at night and on cloudy days."
Portulaca,"A drought-tolerant groundcover also known as 'Moss Rose,' featuring succulent leaves and jewel-toned, rose-like blooms."
Coleus,"A shade-loving plant grown primarily for its spectacular, multicolored foliage that comes in endless patterns and hues."
Dusty Miller,"A striking ornamental plant prized for its silver-grey, woolly foliage that provides a cool contrast in sunny garden borders."
Dianella,"A hardy, grass-like perennial also known as 'Flax Lily,' featuring strap-shaped leaves and small blue flowers followed by purple berries."
Lantana,"A heat-loving shrub that produces rounded clusters of small, brightly colored florets that often change hue as they age."
Yucca,"A tough, architectural plant with stiff, sword-like leaves and tall spikes of white bell-shaped flowers, built for arid conditions."
Acalypha,"Commonly known as 'Copperleaf' or 'Chenille Plant,' it is grown for its colorful foliage or fuzzy, catkin-like red flowers."
Viola,"A charming, cool-weather flower with delicate petals that come in various patterns, often used for winter and spring color."
Jasmine (Outdoor),"A vigorous climbing vine famous for its prolific white flowers and a sweet, heady fragrance that intensifies at dusk."
Sweet William,"A nostalgic biennial or short-lived perennial that produces dense, flat-topped clusters of fringed, bi-colored flowers."
Campanula,"Often called 'Bellflower,' this plant features delicate, upward-facing blooms in shades of blue and white."
Black-Eyed Susan,"A classic prairie flower with golden-yellow petals surrounding a dark brown central cone, known for its rugged durability."
Bachelors Button,"A simple and hardy annual featuring ruffled, intense blue flowers that are a favorite in cottage gardens."
Sea Holly,"A unique, thistle-like plant with metallic-blue bracts and prickly foliage that adds a sculptural element to the landscape."
Bellflower,"A graceful perennial with nodding, bell-shaped blooms that thrives in cooler, partially shaded garden spots."
Daylily,"A virtually indestructible perennial that produces large, trumpet-shaped flowers; while each bloom lasts one day, the plant flowers for weeks."
Yarrow,"A versatile medicinal herb with feathery foliage and flat-topped flower clusters that is highly attractive to pollinators."
Feverfew,"A traditional medicinal herb that looks like a miniature daisy, often grown for its health benefits and pest-deterrent properties."
Rudbeckia,"A sturdy, late-summer bloomer with vibrant yellow or orange petals, perfect for adding warmth to the autumn garden."
Echinacea,"Also known as 'Coneflower,' this medicinal plant is famous for its immune-boosting properties and bold, pinkish-purple petals."
Alyssum,"A fast-growing, low-profile flower that creates a sweet-scented carpet of tiny blooms, perfect for borders and rock gardens."
Ice Plant,"A vibrant, succulent groundcover that produces a shimmering blanket of neon-colored daisy-like flowers in full sun."
Neem Tree,"A fast-growing tropical tree revered for its powerful medicinal, insecticidal, and antifungal properties in its leaves and oil."
Peepal Tree (Bodhi Tree),"A sacred, large-crowned fig tree with heart-shaped leaves, historically significant as the tree under which the Buddha attained enlightenment."
Banyan Tree (Bargad),"A massive, iconic tree known for its aerial prop roots that grow into thick woody trunks, creating a forest-like canopy."
Kikar Tree (Acacia),"A hardy, drought-resistant tree with feathery foliage and thorny branches, well-adapted to dry and sandy environments."
Sheesham Tree,"A premier timber tree known for its beautiful, dark-veined wood and its ability to grow quickly in sunny, open spaces."
Gul Mohar (Flame Tree),"A spectacular tropical tree that produces a vivid canopy of fiery red or orange flowers, earning its name as the 'Flame of the Forest.'"
Amaltas (Golden Shower),"A stunning ornamental tree that produces long, drooping clusters of bright yellow flowers that resemble golden rain."
Date Palm (Khajoor),"A majestic, slender palm tree grown for its sweet, nutritious fruits and its classic desert-oasis silhouette."
Ber Tree (Indian Jujube),"A hardy fruit tree that produces small, crisp, apple-like fruits and thrives even in poor, sandy soils."
Ageratum,"A compact garden plant known for its unique, soft, tassel-like blue or purple flowers that bloom continuously in the sun."
Beggonia (Outdoor),"A versatile bedding plant with succulent stems and waxy flowers that provides reliable color in summer garden beds."
Amaryllis,"A popular bulbous plant that produces huge, spectacular trumpet-shaped flowers on thick, leafless stalks."
Chrysanthemum (Outdoor),"A robust autumnal flower that forms dense mounds of color, signaling the transition from summer to the cooler months."
Japanese Maple,"A slow-growing, ornamental tree prized for its delicate, deeply lobed leaves and spectacular crimson fall colors."
Euphorbia,"A diverse group of succulent-like plants that produce a milky white sap and unique, long-lasting floral bracts."
Pineapple Sage,"A fast-growing herb with velvety leaves that smell exactly like fresh pineapple, topped with tall spikes of red flowers."
Maranta (Prayer Plant),"A low-growing indoor plant with beautifully patterned leaves that fold upward at night as if in a gesture of prayer."
Kalanchoe,"A popular flowering succulent with thick, scalloped leaves and long-lasting clusters of small, brightly colored blossoms."
Pilea,"Often called the 'Chinese Money Plant,' it features unique, round, pancake-shaped leaves on slender stalks."
Pothos (Golden Pathos),"An incredibly easy-to-grow trailing vine with heart-shaped, yellow-marbled leaves that excels at air purification."
Areca Palm,"A graceful, fountain-like palm with feathery fronds that serves as an excellent natural humidifier for indoor spaces."
Ficus Benjamina,"Commonly known as the 'Weeping Fig,' this elegant tree features arching branches and glossy, pointed leaves."
Mimosa,"A fast-growing tree or shrub known for its fern-like foliage and fluffy, pink, pom-pom flowers that have a delicate fragrance."
Lavender (English),"A highly aromatic shrub with narrow grey-green leaves and violet flower spikes, widely used in perfumes and skincare."
Zucchini,"A fast-growing, sprawling vegetable plant that produces large yellow flowers and abundant green or yellow summer squash."
Chili Pepper,"A heat-loving plant that produces spicy, colorful pods used globally to add heat and flavor to culinary dishes."
Radish,"A quick-growing root vegetable that produces peppery, crunchy bulbs, often used as one of the easiest 'starter' plants for new gardeners."
Grape Vine,"A vigorous, woody climbing vine grown for its clusters of sweet, juicy fruits and its large, decorative shade-providing leaves."
Cherry Blossom,"A celebrated flowering tree that produces a breathtaking, ephemeral cloud of pink or white blossoms in early spring."
Pine,"A classic evergreen tree with needle-like leaves and resinous cones, known for its incredible hardiness and fresh, forest scent."
Lily of the Valley,"A delicate but highly toxic woodland plant with sweet-smelling, bell-shaped white flowers that bloom in the shade."
Hops,"A vigorous, fast-climbing vine used primarily in brewing for its bittering cones, but also valued for its medicinal and sedative properties."
Cabbage,"A cool-season vegetable that forms a dense, leafy head; a versatile staple in gardens and kitchens for slaws, soups, and ferments."
Tomato,"The quintessential summer garden fruit, producing juicy, sun-ripened berries in a massive variety of shapes, sizes, and colors."
Wisteria,"A romantic, long-lived climbing vine famous for its massive, drooping clusters of fragrant purple or white pea-like flowers."
Strawberry,"A low-growing perennial that spreads via runners, producing sweet, red heart-shaped fruits that are a favorite of home gardeners."
Borage,"An easy-to-grow herb with fuzzy leaves and star-shaped blue flowers that have a refreshing cucumber-like flavor and attract bees."
Raspberry,"A brambling shrub that produces delicate, hollow-centered berries; a delicious and high-yielding addition to any sunny edible garden."
Cornflower,"A bright, airy wildflower also known as 'Bachelor’s Button,' prized for its intense true-blue petals and drought tolerance."
Pineapple,"A slow-growing tropical bromeliad that produces a single, iconic spiked fruit from the center of its sword-like foliage."
Lavender (French),"A Mediterranean shrub with distinctively 'eared' flower spikes, grown for its aromatic oils and beautiful silvery foliage."
Acorn Squash,"A hardy, winter squash known for its ribbed, dark green skin and sweet, nutty orange flesh that stores well after harvest."
Apple Tree,"The most iconic temperate fruit tree, offering beautiful spring blossoms followed by crisp, versatile fruits in autumn."
Bamboo Orchid,"A unique orchid with tall, cane-like stems resembling bamboo, topped with delicate, cattleya-like purple flowers."
Balsam,"A nostalgic annual also known as 'Touch-Me-Not,' featuring colorful cup-shaped flowers and seed pods that burst open when ripe."
Banana Plant,"A fast-growing tropical giant with massive, paddle-shaped leaves that adds an instant architectural and jungle-like feel to a garden."
Beetroot,"A dual-purpose vegetable grown for its earthy, nutrient-dense purple roots as well as its edible, vitamin-rich green tops."
Blackcurrant,"A woody shrub that produces clusters of dark, tart berries which are exceptionally high in Vitamin C and used for jams and syrups."
Bok Choy,"A fast-growing Chinese cabbage with crisp white stalks and tender green leaves, perfect for quick stir-fries."
Brassica,"A diverse family of plants including kale and mustard, valued for their hardiness and nutritious, often peppery-tasting foliage."
Butternut Squash,"A popular winter squash with a tan, bell-like shape and smooth, creamy orange flesh that becomes very sweet when roasted."
Carrot,"A favorite root vegetable that grows a long, crunchy orange taproot underground beneath a mound of feathery green foliage."
Chayote,"A vigorous climbing perennial from the gourd family that produces mild, pear-shaped green fruits used extensively in Latin cuisine."
Chestnut,"A grand, long-lived tree that produces starchy, edible nuts encased in a prickly green husk during the autumn months."
Clementine,"A small, sweet, and typically seedless citrus fruit grown on compact trees with glossy, evergreen leaves."
Clove,"A tropical evergreen tree whose dried, unopened flower buds are used as a pungent and warming spice worldwide."
Cocoa Tree,"The source of chocolate, this tropical tree produces large, colorful pods containing seeds that are fermented and roasted."
Corn,"A tall, fast-growing cereal grass that produces ears filled with sweet, starchy kernels—a cornerstone of global agriculture."
Cucumber,"A sprawling or climbing vine that produces crisp, water-rich fruits perfect for fresh salads or pickling."
Currant,"A hardy shrub producing translucent red, white, or black berries that grow in elegant, hanging clusters called 'strigs.'"
Date Palm,"A majestic desert palm that provides shade and yields clusters of sweet, energy-rich fruits known as dates."
Dragon Fruit,"A stunning climbing cactus that produces exotic, scale-skinned fruits with a mild, speckled interior and spectacular night-blooming flowers."
Eggplant,"A heat-loving plant that produces glossy, typically purple fruits with a meaty texture that absorbs flavors beautifully in cooking."
Elderberry,"A large shrub famous for its flat clusters of white flowers and dark berries, both of which are used in immune-boosting syrups."
Fig Tree,"An ancient fruit tree with large, lobed leaves and unique, honey-sweet fruits that can be eaten fresh or dried."
Green Bean,"A productive garden staple that grows as either a bush or a climbing pole, producing tender, edible pods throughout the summer."
Jackfruit,"The producer of the world's largest tree-borne fruit, known for its huge, bumpy exterior and its fibrous, meat-like interior."
Jasmine (Indoor),"A fragrant, twining vine kept as a houseplant for its starry white blooms that fill a room with an intoxicating sweet scent."
Jatropha,"A hardy, drought-tolerant shrub often grown for its clusters of star-shaped red flowers and its seeds, which are used for biofuel."
Kiwi,"A vigorous woody vine that requires a trellis to support its fuzzy, brown-skinned fruits with their bright green, tangy centers."
Lady's Mantle,"A charming perennial with scalloped, pleated leaves that famously catch and hold glistening beads of morning dew."
Lemon Tree,"A popular citrus tree that provides year-round glossy foliage and bright, acidic yellow fruits essential for cooking and cleaning."
Litchi,"A tropical evergreen tree prized for its small, rough-skinned fruits that contain a sweet, translucent, floral-scented flesh."
Lychee,"A beloved tropical fruit tree (Litchi) celebrated for its juicy, fragrant summer fruits encased in a brittle, pink-red shell."
Mallow,"A resilient plant with soft, heart-shaped leaves and satiny, hollyhock-like flowers that have been used traditionally in herbalism."
Mango,"Known as the 'king of fruits,' this large tropical tree produces succulent, golden-fleshed fruits with a rich, sweet aroma."
Moringa,"Often called the 'Miracle Tree,' every part of this fast-growing plant is nutrient-dense, from its leaves to its drumstick-shaped pods."
Mulberry,"A fast-growing tree that produces sweet, blackberry-like fruits and is historically significant as the primary food for silkworms."
Mustard,"A quick-growing plant used for its spicy greens, its seeds (which are ground into the famous condiment), and its bright yellow flowers."
Nectarine,"A smooth-skinned variety of peach tree that produces sweet, juicy stone fruits and beautiful pink spring blossoms."
Olive Tree,"An ancient, silvery-leafed Mediterranean tree known for its longevity, oil-rich fruits, and incredible drought tolerance."
Acacia,"A diverse group of fast-growing trees or shrubs with feathery foliage and clusters of bright yellow, puffball flowers."
Acanthus,"Also known as 'Bear's Breeches,' this plant is famous for its large, glossy, sculptural leaves that inspired classical Greek architecture."
Alstroemeria,"Often called the 'Peruvian Lily,' it produces long-lasting, exotic-looking striped flowers that are a favorite in floral bouquets."
Amaranth,"A striking, fast-growing plant with vibrant flower plumes and nutrient-dense seeds and leaves used in ancient culinary traditions."
Anigozanthos (Kangaroo Paw),"A unique Australian native featuring fuzzy, tubular flowers that resemble the paw of a kangaroo, thriving in sunny, sandy spots."
Anthurium,"A tropical favorite known for its waxy, heart-shaped red 'flowers' (bracts) and glossy dark green foliage."
Aquilegia (Columbine),"A delicate woodland perennial with distinctive spurred flowers that seem to float above its lacy, blue-green leaves."
Arum Lily,"A stately plant with elegant, funnel-shaped white blooms and large, arrowhead-shaped leaves that love moist environments."
Aztec Lily,"A dramatic bulb that produces deep crimson, orchid-like flowers, also known as the Jacobean Lily."
Barberry,"A hardy, thorny ornamental shrub prized for its colorful foliage that ranges from bright gold to deep burgundy."
Brachychiton (Bottle Tree),"An architectural marvel with a swollen, water-storing trunk and a dense canopy of uniquely shaped leaves."
Cananga (Ylang-Ylang),"A tropical tree famous for its drooping greenish-yellow flowers that produce one of the world's most celebrated floral perfumes."
Carrot Plant,"A familiar root vegetable grown for its sweet, orange taproot and feathery green foliage that thrives in deep, sandy soil."
Cestrum,"Commonly known as 'Night-Blooming Jessamine,' it produces clusters of small flowers that release an intense fragrance after dark."
Cockscomb (Celosia),"A showy annual with unusual flower heads that resemble the velvety ripples of a rooster's comb or vibrant coral."
Cress,"A fast-growing, peppery herb that is often harvested as a microgreen to add a fresh, spicy kick to salads and sandwiches."
Cyclamen,"A charming cool-season plant with 'swept-back' petals and beautifully marbled, heart-shaped leaves."
Devils Ivy,"Another name for the incredibly hardy Pothos vine, known for its ability to trail or climb in almost any indoor lighting."
Ficus Microcarpa,"A versatile tree often used for bonsai, featuring small, dense leaves and interesting exposed root systems."
Guava,"A tropical fruit tree with attractive peeling bark and sweet, fragrant fruits that are rich in Vitamin C."
